A_size,A_addfirst(ms),A_addlast(ms),A_addrandpos(ms),A_removefirst(ms),A_removelast(ms),A_removerandpos(ms),A_getfirst(ms),A_getrandpos(ms),A_getlast(ms),S_addfirst(ms),S_addlast(ms),S_addrandpos(ms),S_removefirst(ms),S_removelast(ms),S_removerandpos(ms),S_getfirst(ms),S_getlast(ms),S_getrandpos(ms),D_addfirst(ms),D_addlast(ms),D_addrandpos(ms),D_removefirst(ms),D_removelast(ms),D_removerandpos(ms),D_getfirst(ms),D_getlast(ms),D_getrandpos(ms),
15452,0.000049,0.000000,0.000038,0.000047,0.000000,0.000037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000014,0.000000,0.000124,0.000021,0.000000,0.000000,0.000022,0.000000,0.000000,0.000023,0.000000,0.000000,0.000017,0.000000,0.000000,0.000018,
90287,0.000288,0.000000,0.000154,0.000270,0.000000,0.000154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000172,0.000000,0.000864,0.000151,0.000000,0.000000,0.000183,0.000000,0.000000,0.000206,0.000000,0.000000,0.000172,0.000000,0.000000,0.000157,
79848,0.000188,0.000000,0.000074,0.000209,0.000000,0.000080,0.000000,0.000000,0.000000,0.000000,0.000000,0.000192,0.000000,0.000653,0.000209,0.000000,0.000000,0.000142,0.000000,0.000000,0.000205,0.000000,0.000000,0.000108,0.000000,0.000000,0.000137,
44832,0.000107,0.000000,0.000085,0.000116,0.000000,0.000093,0.000000,0.000000,0.000000,0.000000,0.000000,0.000033,0.000000,0.000306,0.000037,0.000000,0.000000,0.000026,0.000000,0.000000,0.000037,0.000000,0.000000,0.000026,0.000000,0.000000,0.000038,
57509,0.000136,0.000000,0.000135,0.000151,0.000000,0.000149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000425,0.000001,0.000000,0.000000,0.000001,0.000000,0.000000,0.000001,0.000000,0.000000,0.000001,0.000000,0.000000,0.000001,
9661,0.000023,0.000000,0.000006,0.000025,0.000000,0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000022,0.000000,0.000068,0.000026,0.000000,0.000000,0.000028,0.000000,0.000000,0.000030,0.000000,0.000000,0.000010,0.000000,0.000000,0.000010,
58877,0.000139,0.000000,0.000013,0.000156,0.000000,0.000014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000182,0.000000,0.000464,0.000185,0.000000,0.000000,0.000241,0.000000,0.000000,0.000253,0.000000,0.000000,0.000023,0.000000,0.000000,0.000021,
94808,0.000228,0.000000,0.000055,0.000290,0.000000,0.000061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000127,0.000000,0.000880,0.000067,0.000000,0.000000,0.000051,0.000000,0.000000,0.000075,0.000000,0.000000,0.000050,0.000000,0.000000,0.000079,
63193,0.000159,0.000000,0.000002,0.000167,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000292,0.000000,0.000531,0.000247,0.000000,0.000000,0.000275,0.000000,0.000000,0.000270,0.000000,0.000000,0.000002,0.000000,0.000000,0.000002,
29238,0.000070,0.000000,0.000015,0.000080,0.000000,0.000017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000080,0.000000,0.000209,0.000100,0.000000,0.000000,0.000096,0.000000,0.000000,0.000111,0.000000,0.000000,0.000028,0.000000,0.000000,0.000027,
