Size,Bubble,Insertion,Selection,Shell,Heap,Quick,S_MergeSort,D_MergeSort
1683,0.000018,0.000022,0.006576,0.000461,0.000661,0.000233,0.000211,0.000279
1414,0.000016,0.000019,0.005687,0.000433,0.000648,0.000213,0.000202,0.000254
1875,0.000025,0.000029,0.008561,0.000577,0.000748,0.000260,0.000255,0.000318
1359,0.000014,0.000018,0.004274,0.000332,0.000509,0.000184,0.000176,0.000216
221,0.000002,0.000003,0.000118,0.000024,0.000060,0.000024,0.000023,0.000029
500,0.000005,0.000007,0.000597,0.000071,0.000161,0.000056,0.000056,0.000061
1449,0.000015,0.000019,0.004877,0.000361,0.000560,0.000196,0.000183,0.000222
1038,0.000011,0.000013,0.002517,0.000211,0.000378,0.000134,0.000120,0.000147
1746,0.000020,0.000024,0.007105,0.000496,0.000696,0.000249,0.000241,0.000319
865,0.000009,0.000011,0.001742,0.000157,0.000304,0.000112,0.000104,0.000135
1105,0.000012,0.000015,0.002873,0.000231,0.000403,0.000145,0.000140,0.000169
1783,0.000018,0.000023,0.007430,0.000511,0.000702,0.000243,0.000228,0.000294
1818,0.000019,0.000024,0.007704,0.000529,0.000715,0.000255,0.000254,0.000316
1613,0.000017,0.000021,0.006078,0.000434,0.000620,0.000218,0.000205,0.000266
969,0.000010,0.000012,0.002178,0.000187,0.000342,0.000124,0.000129,0.000137
1699,0.000018,0.000023,0.006739,0.000472,0.000664,0.000237,0.000223,0.000280
1832,0.000019,0.000026,0.007784,0.000533,0.000719,0.000248,0.000260,0.000318
1807,0.000020,0.000024,0.007642,0.000524,0.000705,0.000244,0.000239,0.000309
1723,0.000018,0.000023,0.006908,0.000481,0.000677,0.000236,0.000236,0.000314
1806,0.000019,0.000024,0.007671,0.000528,0.000710,0.000246,0.000246,0.000299
1447,0.000015,0.000019,0.004874,0.000357,0.000547,0.000197,0.000200,0.000223
1463,0.000015,0.000019,0.005064,0.000368,0.000560,0.000196,0.000246,0.000230
267,0.000003,0.000004,0.000172,0.000030,0.000075,0.000031,0.000028,0.000035
841,0.000009,0.000011,0.001690,0.000152,0.000296,0.000108,0.000103,0.000129
484,0.000005,0.000007,0.000551,0.000068,0.000151,0.000056,0.000054,0.000068
951,0.000010,0.000012,0.002120,0.000183,0.000336,0.000121,0.000109,0.000145
305,0.000003,0.000004,0.000220,0.000036,0.000088,0.000035,0.000033,0.000039
463,0.000005,0.000006,0.000504,0.000062,0.000146,0.000055,0.000045,0.000061
373,0.000004,0.000005,0.000328,0.000047,0.000110,0.000044,0.000045,0.000061
1282,0.000013,0.000017,0.003823,0.000293,0.000478,0.000171,0.000167,0.000193
1466,0.000015,0.000019,0.005000,0.000365,0.000560,0.000196,0.000187,0.000246
839,0.000013,0.000011,0.001645,0.000149,0.000293,0.000107,0.000093,0.000116
1916,0.000020,0.000025,0.011740,0.000769,0.000852,0.000274,0.000315,0.000409
1783,0.000019,0.000024,0.013207,0.001097,0.000907,0.000409,0.000354,0.000421
441,0.000006,0.000006,0.001311,0.000125,0.000154,0.000074,0.000056,0.000068
601,0.000011,0.000013,0.001630,0.000133,0.000263,0.000074,0.000092,0.000152
1507,0.000018,0.000027,0.005654,0.000407,0.000591,0.000206,0.000188,0.000249
324,0.000004,0.000004,0.000253,0.000045,0.000095,0.000038,0.000042,0.000047
252,0.000003,0.000003,0.000156,0.000031,0.000071,0.000028,0.000024,0.000039
1265,0.000016,0.000018,0.004085,0.000313,0.000484,0.000174,0.000178,0.000206
1251,0.000014,0.000018,0.006277,0.000425,0.000682,0.000233,0.000252,0.000586
1787,0.000022,0.000026,0.008528,0.000828,0.000880,0.000294,0.000242,0.000340
1779,0.000024,0.000038,0.012902,0.000807,0.000874,0.000279,0.000316,0.000303
716,0.000010,0.000020,0.001917,0.000159,0.000334,0.000137,0.000105,0.000191
1061,0.000013,0.000017,0.003817,0.000298,0.000395,0.000135,0.000129,0.000153
879,0.000011,0.000013,0.002853,0.000250,0.000310,0.000110,0.000146,0.000140
1720,0.000023,0.000029,0.011778,0.000778,0.000932,0.000347,0.000427,0.000391
1992,0.000024,0.000033,0.017211,0.001173,0.001028,0.000516,0.000334,0.000360
461,0.000006,0.000007,0.000763,0.000091,0.000216,0.000061,0.000068,0.000066
826,0.000035,0.000016,0.002828,0.000383,0.000722,0.000230,0.000143,0.000231
414,0.000005,0.000007,0.000660,0.000080,0.000144,0.000057,0.000055,0.000078
1858,0.000023,0.000029,0.009401,0.000653,0.001284,0.000343,0.000330,0.000363
1383,0.000016,0.000019,0.004951,0.000385,0.000556,0.000191,0.000211,0.000220
1743,0.000019,0.000028,0.008101,0.000548,0.000710,0.000248,0.000227,0.000282
945,0.000012,0.000016,0.002090,0.000185,0.000332,0.000124,0.000110,0.000131
1035,0.000011,0.000014,0.003637,0.000359,0.000524,0.000166,0.000117,0.000151
1668,0.000021,0.000028,0.010711,0.000729,0.000723,0.000257,0.000237,0.000379
1155,0.000016,0.000015,0.003345,0.000270,0.000470,0.000170,0.000144,0.000180
391,0.000005,0.000006,0.000459,0.000054,0.000120,0.000064,0.000040,0.000052
155,0.000001,0.000002,0.000059,0.000015,0.000038,0.000014,0.000013,0.000016
266,0.000003,0.000003,0.000187,0.000040,0.000075,0.000030,0.000026,0.000039
213,0.000003,0.000004,0.000128,0.000024,0.000058,0.000022,0.000022,0.000043
1984,0.000026,0.000028,0.009968,0.000666,0.000909,0.000293,0.000261,0.000323
327,0.000004,0.000005,0.000281,0.000040,0.000095,0.000035,0.000032,0.000040
1648,0.000019,0.000023,0.006861,0.000489,0.000680,0.000251,0.000218,0.000326
1863,0.000022,0.000025,0.008888,0.000604,0.000916,0.000325,0.000336,0.000579
1496,0.000018,0.000022,0.006001,0.000426,0.000597,0.000230,0.000220,0.000237
1820,0.000023,0.000029,0.010457,0.000717,0.000894,0.000280,0.000357,0.000572
700,0.000008,0.000010,0.001233,0.000118,0.000239,0.000082,0.000087,0.000093
902,0.000011,0.000012,0.002069,0.000183,0.000319,0.000114,0.000113,0.000131
43,0.000000,0.000001,0.000005,0.000004,0.000008,0.000003,0.000003,0.000005
1434,0.000016,0.000022,0.006206,0.000428,0.000583,0.000210,0.000200,0.000242
1223,0.000014,0.000016,0.003512,0.000273,0.000452,0.000162,0.000158,0.000201
1317,0.000014,0.000017,0.004015,0.000306,0.000495,0.000172,0.000188,0.000198
1256,0.000014,0.000023,0.004167,0.000312,0.000476,0.000164,0.000147,0.000186
1200,0.000014,0.000016,0.003418,0.000266,0.000435,0.000160,0.000156,0.000196
1924,0.000021,0.000026,0.010269,0.000665,0.000794,0.000274,0.000299,0.000376
572,0.000008,0.000009,0.001043,0.000167,0.000256,0.000117,0.000088,0.000097
1608,0.000030,0.000022,0.008399,0.000559,0.000685,0.000215,0.000226,0.000267
1061,0.000011,0.000014,0.003327,0.000256,0.000398,0.000141,0.000129,0.000151
92,0.000001,0.000001,0.000021,0.000009,0.000021,0.000009,0.000009,0.000011
1840,0.000022,0.000026,0.008776,0.000590,0.000747,0.000257,0.000238,0.000314
889,0.000010,0.000017,0.002171,0.000182,0.000336,0.000111,0.000109,0.000180
1214,0.000020,0.000017,0.003671,0.000285,0.000491,0.000170,0.000163,0.000197
1039,0.000012,0.000013,0.004058,0.000325,0.000868,0.000192,0.000154,0.000210
1355,0.000016,0.000018,0.004572,0.000360,0.000569,0.000212,0.000207,0.000259
311,0.000004,0.000005,0.000268,0.000038,0.000096,0.000051,0.000034,0.000052
1300,0.000015,0.000017,0.004295,0.000317,0.000486,0.000165,0.000163,0.000201
1647,0.000017,0.000024,0.006421,0.000449,0.000635,0.000223,0.000224,0.000284
1464,0.000018,0.000020,0.005326,0.000394,0.000651,0.000294,0.000231,0.000253
834,0.000010,0.000010,0.001671,0.000149,0.000292,0.000106,0.000090,0.000123
1004,0.000011,0.000014,0.002504,0.000208,0.000362,0.000137,0.000135,0.000155
1368,0.000015,0.000018,0.004825,0.000350,0.000516,0.000181,0.000173,0.000216
780,0.000008,0.000011,0.001485,0.000137,0.000279,0.000100,0.000094,0.000119
88,0.000001,0.000001,0.000020,0.000009,0.000019,0.000007,0.000007,0.000009
222,0.000002,0.000002,0.000131,0.000026,0.000060,0.000022,0.000020,0.000025
672,0.000007,0.000009,0.001158,0.000111,0.000226,0.000086,0.000079,0.000101
1927,0.000022,0.000026,0.008744,0.000589,0.000768,0.000270,0.000258,0.000328
984,0.000011,0.000013,0.002279,0.000193,0.000361,0.000138,0.000110,0.000145
273,0.000003,0.000004,0.000177,0.000031,0.000075,0.000027,0.000025,0.000030
